epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
0,5e-05,1.2309722176379403,0.4391388150760889,0.7745431044412422,631.6888160705566
1,0.0001,0.9038229594796391,0.40302574732424984,0.8603543278650968,631.648542881012
2,0.0001,0.7431971589050724,0.3217860738974682,0.8840687310430555,622.1592791080475
3,9.953429730181653e-05,0.6399781245969783,0.3049810670671009,0.8959243593751917,547.0934529304504
4,9.814586436738998e-05,0.5792562101183638,0.2713907493159102,0.9145612658238926,610.1153655052185
5,9.586056507527266e-05,0.5257814469310523,0.2745724520072561,0.9179321512814537,637.1125409603119
6,9.272097022732443e-05,0.494928868982078,0.24731966532607774,0.9267025333978774,657.3056421279907
7,8.8785564535221e-05,0.45288044130061306,0.21760443556435982,0.9255071614018267,620.2402808666229
8,8.412765716093272e-05,0.42708246477242917,0.2209661095013172,0.9208757961347863,653.7020452022552
9,7.883401610574336e-05,0.4015677259803492,0.16900002055958965,0.9243492802388408,649.0513083934784
10,7.300325188655761e-05,0.37325745366387447,0.19587336742427744,0.9296100615765198,648.2361097335815
11,6.674398060854931e-05,0.3654754368935601,0.18894340496736597,0.9250220204402203,662.5005671977997
12,6.01728006526317e-05,0.3275721116086184,0.17281709421786964,0.9211933588935715,646.0671322345734
13,5.341212066823355e-05,0.30877022579901636,0.1628852100012142,0.9224970659601257,654.5123913288116
14,4.658787933176646e-05,0.29372017077133483,0.15469589626358451,0.9251198440882306,589.9292621612549
15,3.982719934736832e-05,0.27377515349347714,0.1519202846415916,0.925194611185087,641.3774211406708
16,3.325601939145069e-05,0.26022791635181947,0.14780383193727784,0.9173954329309213,642.7635405063629
