epoch,lr,train_loss,val_loss,val_auroc,val_acc,seconds
0,5e-05,0.2169090683044888,0.25487130373827477,0.9899347752265364,0.9179704635180582,521.540602684021
1,0.0001,0.10444195300742838,0.1951456446622285,0.9911413478244244,0.9379295218599211,390.1008903980255
2,0.0001,0.07838983115493325,0.19876624362404052,0.9908669659015172,0.9410732563240239,367.24426913261414
3,9.968561049466214e-05,0.06293048020736634,0.2827599466670621,0.9869567130491455,0.9203099868401813,363.55867862701416
4,9.874639560909117e-05,0.055818702100350594,0.18921658165367775,0.9924779361003501,0.9460447433835356,358.0984854698181
5,9.719416651541839e-05,0.0517258343988605,0.22242988800946722,0.9910944651972105,0.934566457084369,355.4139983654022
6,9.504844339512095e-05,0.04387358001358665,0.21682601546456606,0.9915159829923077,0.9385144026904518,359.0639228820801
7,9.233620996141421e-05,0.03899926264951109,0.23881785184384,0.9912894555074295,0.9340546863576547,356.14749813079834
8,8.90915741234015e-05,0.0373425485124845,0.24394259419407147,0.9910570684180937,0.9404152653896769,358.76297903060913
9,8.535533905932738e-05,0.032718621308365864,0.20011234714907403,0.9933534112219649,0.9464102939026173,368.2644159793854
10,8.117449009293668e-05,0.02880449722425285,0.2639103018413722,0.9913931925978612,0.9357362187454307,360.839154958725
11,7.660160382576683e-05,0.025739347823985525,0.2831100313476227,0.9916838946008681,0.9365404298874105,353.34972977638245
12,7.169418695587791e-05,0.02177723447317176,0.24376349752231788,0.9907489973941055,0.9507969001315982,358.4157943725586
13,6.651395309775837e-05,0.020409192732825262,0.24257171648151551,0.9923918446272015,0.9477262757713116,356.8397846221924
14,6.112604669781572e-05,0.01778694056047481,0.28194989457716335,0.9896645306065394,0.9480918262903933,354.9900150299072
15,5.559822380516539e-05,0.017513297916946814,0.2575402171540644,0.9908361814878262,0.9420967977774528,362.86561822891235
